Transaction_Amount,Transaction_Type,Account_Age,Transaction_Location,Transaction_Time,Fraudulent,Customer_ID,Loan_Amount,Loan_Purpose
4424.84,ATM,25.0,San Francisco,1:54,0,CUST29888,29037.12,Mortgage
1041.08,Online,30.0,New York,7:16,0,CUST12218,62301.53,Education
1423.55,Online,18.0,Los Angeles,16:35,0,CUST65107,64838.5,Mortgage
1963.71,In-store,26.0,Houston,8:15,0,CUST52399,6372.26,Education
634.48,ATM,16.0,Houston,0:40,0,CUST42512,1774.99,Mortgage
2409.33,Online,13.0,San Francisco,5:56,0,CUST40348,76023.97,Mortgage
3864.98,Online,3.0,Chicago,4:3,0,CUST33755,44627.86,Mortgage
4175.37,In-store,6.0,Los Angeles,11:42,0,CUST50118,97442.34,Business
3117.22,ATM,12.0,Chicago,8:47,0,CUST20137,52304.4,Personal
3517.89,ATM,15.0,San Francisco,17:32,0,CUST40368,13556.35,Personal
4284.33,Online,6.0,Chicago,21:19,0,CUST85696,50789.24,Mortgage
4355.63,In-store,22.0,Chicago,14:18,0,CUST33899,12859.05,Personal
3966.59,In-store,15.0,San Francisco,14:10,0,CUST88868,18994.16,Business
56.51,In-store,4.0,New York,13:11,0,CUST33718,30886.52,Mortgage
1257.86,ATM,29.0,Los Angeles,4:3,0,CUST42154,85526.24,Personal
855.1,ATM,15.0,Houston,18:8,0,CUST94662,14192.32,Mortgage
3457.9,In-store,6.0,Chicago,9:21,0,CUST14878,9633.97,Business
2720.43,In-store,24.0,Los Angeles,15:24,0,CUST20072,56966.37,Mortgage
4093.02,In-store,22.0,New York,21:52,0,CUST34108,96299.52,Mortgage
1944.28,ATM,16.0,Houston,3:15,0,CUST27473,93414.29,Mortgage
4355.69,In-store,11.0,New York,23:3,0,CUST30296,49204.78,Personal
2494.25,ATM,1.0,Los Angeles,21:59,0,CUST90828,65833.94,Personal
866.3,ATM,10.0,Houston,5:6,0,CUST48570,68011.29,Business
4307.65,In-store,23.0,San Francisco,11:6,0,CUST55066,40885.97,Education
793.33,Online,30.0,New York,19:40,0,CUST44329,4950.91,Education
782.11,ATM,30.0,Chicago,23:44,0,CUST81096,16879.59,Education
160.21,In-store,20.0,Los Angeles,10:44,0,CUST43943,46380.54,Personal
3970.85,Online,5.0,Los Angeles,6:40,0,CUST60851,61094.95,Education
3146.66,ATM,5.0,Houston,4:30,0,CUST56649,69281.3,Personal
3773.43,In-store,9.0,San Francisco,6:20,0,CUST27668,73325.02,Education
4735.89,In-store,24.0,Houston,13:14,0,CUST31934,12322.51,Personal
1619.15,ATM,22.0,New York,12:40,0,CUST37381,84771.58,Education
2706.63,In-store,9.0,Los Angeles,8:21,0,CUST87614,89860.75,Personal
869.05,ATM,12.0,Chicago,14:45,0,CUST43892,64962.44,Mortgage
111.28,In-store,25.0,Los Angeles,17:39,0,CUST51495,63748.95,Mortgage
3189.34,Online,7.0,Los Angeles,14:42,0,CUST27808,24304.03,Personal
3530.84,ATM,27.0,Chicago,15:11,0,CUST69607,80935.59,Education
4670.88,In-store,16.0,Los Angeles,13:54,0,CUST25561,29260.44,Personal
1711.94,Online,9.0,Chicago,8:3,0,CUST42997,27367.22,Education
377.49,In-store,29.0,Los Angeles,3:31,0,CUST66637,30854.83,Business
306.09,In-store,24.0,Houston,22:41,0,CUST30344,89348.63,Mortgage
1675.03,Online,28.0,New York,16:17,0,CUST49240,4192.64,Education
1100.43,Online,30.0,San Francisco,22:54,0,CUST70734,88002.21,Mortgage
2966.1,Online,2.0,Los Angeles,17:27,0,CUST48787,69815.38,Education
702.14,ATM,5.0,San Francisco,22:1,0,CUST21442,77195.72,Education
2349.49,ATM,7.0,San Francisco,22:1,0,CUST92174,61236.84,Mortgage
4024.39,Online,25.0,Los Angeles,3:26,0,CUST14492,65731.23,Mortgage
3776.28,Online,8.0,New York,7:11,0,CUST54804,97864.27,Mortgage
3414.08,ATM,25.0,Houston,0:45,0,CUST84512,23042.5,Business
672.92,ATM,8.0,Houston,11:13,0,CUST25252,60442.98,Mortgage
1430.11,In-store,5.0,New York,1:31,0,CUST92862,52282.04,Business
762.14,In-store,14.0,San Francisco,2:19,0,CUST70539,96557.99,Mortgage
3207.41,In-store,4.0,Houston,18:55,0,CUST75384,11541.01,Education
4344.1,Online,29.0,San Francisco,2:12,0,CUST73968,92515.97,Personal
1523.77,Online,13.0,New York,0:11,0,CUST30200,12135.8,Personal
2218.49,Online,26.0,Houston,14:51,0,CUST36844,71807.37,Mortgage
3336.0,ATM,16.0,San Francisco,22:37,0,CUST43875,82405.87,Mortgage
2961.82,ATM,26.0,Houston,18:2,0,CUST99425,61034.09,Mortgage
3144.7,ATM,26.0,New York,8:48,0,CUST49863,30218.79,Business
1872.42,ATM,13.0,Chicago,19:53,0,CUST87357,37431.14,Education
412.27,In-store,27.0,Los Angeles,2:30,0,CUST10284,66074.72,Personal
1407.27,Online,23.0,San Francisco,1:26,0,CUST60254,66984.1,Business
413.19,ATM,10.0,Los Angeles,9:17,0,CUST84417,71178.13,Business
3851.16,ATM,28.0,San Francisco,12:29,0,CUST76325,14899.76,Education
3585.66,ATM,18.0,San Francisco,13:4,0,CUST96956,8817.13,Personal
2680.85,Online,11.0,Los Angeles,1:22,0,CUST60158,25441.43,Education
67.87,ATM,11.0,Los Angeles,10:21,0,CUST95407,12579.61,Education
4025.56,In-store,20.0,Houston,17:59,0,CUST53251,97893.47,Mortgage
1289.28,Online,11.0,San Francisco,13:39,0,CUST32851,74373.97,Mortgage
2701.56,ATM,28.0,Chicago,4:33,0,CUST91523,36416.46,Business
1589.91,Online,22.0,Houston,11:22,0,CUST43909,6540.35,Education
410.62,Online,30.0,Chicago,4:50,0,CUST58090,70692.98,Education
4885.78,ATM,10.0,San Francisco,0:13,0,CUST27660,45819.91,Mortgage
4284.23,In-store,14.0,Houston,12:46,0,CUST55445,25687.13,Business
1403.38,Online,7.0,New York,19:44,0,CUST21322,35614.64,Personal
110.07,In-store,14.0,Chicago,7:35,0,CUST89634,34332.88,Education
1761.39,ATM,22.0,Los Angeles,19:15,0,CUST74888,34047.36,Personal
313.05,Online,9.0,Los Angeles,5:9,0,CUST42380,71046.81,Personal
2700.95,In-store,3.0,Houston,13:0,0,CUST74493,69149.02,Business
4438.33,Online,3.0,Houston,8:40,0,CUST94521,75892.16,Personal
828.85,ATM,30.0,San Francisco,2:6,0,CUST90359,47943.6,Education
2996.69,Online,19.0,Los Angeles,9:40,0,CUST46641,34618.12,Business
4724.89,In-store,19.0,Chicago,10:37,0,CUST39928,3714.29,Personal
1574.72,ATM,22.0,Houston,19:41,0,CUST66675,35398.85,Business
174.77,ATM,26.0,San Francisco,15:44,0,CUST70221,26987.23,Personal
4294.25,ATM,2.0,San Francisco,6:57,0,CUST28283,58614.79,Education
970.08,ATM,9.0,Los Angeles,8:38,0,CUST13752,8942.24,Mortgage
4606.45,Online,23.0,New York,13:25,0,CUST78501,14592.58,Education
2511.38,In-store,27.0,New York,21:7,0,CUST14225,25856.04,Education
1148.2,In-store,20.0,Chicago,15:14,0,CUST34791,90963.13,Business
1463.07,In-store,6.0,San Francisco,8:47,0,CUST44091,68130.08,Mortgage
1587.95,ATM,7.0,Chicago,7:46,0,CUST64779,20849.19,Mortgage
3936.53,In-store,23.0,Houston,23:20,0,CUST82164,55202.2,Mortgage
2251.04,Online,20.0,Los Angeles,4:56,0,CUST32300,85220.3,Personal
3665.77,ATM,30.0,Chicago,3:43,0,CUST26354,6872.02,Personal
4827.16,Online,28.0,Chicago,6:46,0,CUST81504,29671.75,Personal
2563.21,Online,25.0,Chicago,18:49,0,CUST62822,30888.05,Education
4586.46,ATM,5.0,San Francisco,2:12,0,CUST19018,45928.59,Business
1762.33,Online,19.0,New York,5:53,0,CUST98428,33974.54,Education
1492.92,ATM,12.0,New York,12:48,0,CUST61937,24862.51,Education
1812.68,In-store,29.0,Chicago,13:34,0,CUST10593,93332.81,Business
358.8,ATM,5.0,Los Angeles,8:24,0,CUST44690,93293.04,Mortgage
357.77,In-store,10.0,Los Angeles,16:27,0,CUST91526,9433.49,Mortgage
898.03,ATM,4.0,San Francisco,11:30,0,CUST10548,38086.36,Personal
4889.0,ATM,29.0,San Francisco,13:10,0,CUST13268,19292.49,Business
2928.64,Online,23.0,San Francisco,10:54,0,CUST85474,77165.69,Business
220.52,In-store,24.0,Los Angeles,4:4,0,CUST22920,50004.89,Personal
4991.26,In-store,4.0,Los Angeles,0:42,0,CUST17599,98675.73,Personal
3982.87,ATM,3.0,Los Angeles,14:28,0,CUST81813,45932.9,Business
3776.55,ATM,7.0,Los Angeles,1:56,0,CUST18480,58484.09,Business
2411.04,Online,29.0,New York,15:11,0,CUST86972,69983.88,Personal
1206.12,ATM,28.0,Los Angeles,17:43,0,CUST32463,10271.43,Education
864.73,Online,30.0,Chicago,8:47,0,CUST55392,60300.23,Education
3593.84,In-store,8.0,New York,1:26,0,CUST21604,58414.2,Education
4849.55,In-store,30.0,New York,1:7,0,CUST20893,89312.84,Business
4449.2,ATM,15.0,Los Angeles,22:7,0,CUST21277,8517.18,Education
851.52,ATM,26.0,Chicago,18:26,0,CUST21873,14124.39,Education
1633.67,Online,15.0,San Francisco,9:38,0,CUST85118,47513.1,Personal
458.64,In-store,26.0,New York,11:20,0,CUST46897,92869.51,Personal
2954.53,ATM,5.0,Chicago,11:38,0,CUST41744,5325.6,Personal
1094.52,Online,5.0,Houston,11:1,0,CUST47879,1664.72,Education
1510.79,ATM,21.0,Houston,12:56,0,CUST93397,86465.73,Mortgage
2423.59,Online,28.0,Houston,22:16,0,CUST16658,97814.97,Mortgage
2198.13,Online,25.0,New York,7:14,0,CUST52962,98741.7,Business
2759.52,ATM,20.0,Houston,16:2,0,CUST94501,19089.2,Personal
209.11,ATM,20.0,Chicago,22:57,0,CUST16157,73806.9,Education
2829.38,ATM,13.0,New York,15:55,0,CUST57722,22772.13,Personal
412.27,ATM,30.0,Los Angeles,22:53,0,CUST11290,10289.56,Personal
3339.41,ATM,5.0,Los Angeles,19:34,0,CUST91413,6100.62,Business
4858.61,In-store,1.0,San Francisco,12:39,0,CUST67217,27051.02,Mortgage
2067.06,ATM,13.0,Chicago,22:32,0,CUST57909,54874.98,Personal
1367.28,In-store,6.0,San Francisco,11:46,0,CUST22746,46545.32,Business
4230.0,In-store,14.0,San Francisco,5:51,0,CUST58627,73537.38,Business
764.81,Online,19.0,Los Angeles,6:29,0,CUST59383,59308.0,Personal
836.25,Online,22.0,Los Angeles,10:5,0,CUST61837,66345.83,Mortgage
2883.38,ATM,29.0,San Francisco,1:9,0,CUST77191,96636.88,Business
4356.86,Online,26.0,New York,1:11,0,CUST52557,72489.76,Business
2132.48,ATM,9.0,Chicago,21:32,0,CUST38985,58428.05,Personal
102.25,ATM,16.0,New York,17:45,0,CUST84995,66780.29,Mortgage
2658.07,In-store,24.0,San Francisco,19:24,0,CUST94290,17266.85,Mortgage
1762.7,ATM,9.0,New York,3:57,0,CUST65480,40028.5,Business
4203.25,Online,3.0,New York,17:39,0,CUST93584,6819.16,Personal
4229.65,ATM,25.0,San Francisco,2:10,0,CUST88126,97703.53,Personal
674.1,ATM,9.0,San Francisco,9:38,0,CUST59972,47066.88,Business
496.98,In-store,24.0,Chicago,16:52,0,CUST72265,49991.63,Personal
1338.68,ATM,5.0,Los Angeles,12:56,0,CUST61790,67438.15,Personal
2101.61,In-store,4.0,New York,14:18,0,CUST45510,88721.25,Business
1240.7,In-store,10.0,San Francisco,11:53,0,CUST38253,16484.69,Mortgage
1764.76,In-store,2.0,Houston,7:20,0,CUST57461,29771.01,Mortgage
1820.54,In-store,26.0,Chicago,22:10,0,CUST24598,71509.25,Business
1024.02,Online,5.0,New York,13:48,0,CUST90340,68591.56,Mortgage
4823.38,In-store,2.0,Chicago,14:44,0,CUST63286,95652.24,Personal
4484.61,ATM,13.0,San Francisco,23:5,0,CUST30003,25559.02,Education
1331.12,ATM,5.0,Chicago,23:44,0,CUST54497,71853.43,Personal
1848.88,Online,1.0,Houston,10:58,0,CUST39509,64995.04,Education
3418.2,In-store,6.0,San Francisco,12:46,0,CUST10697,76991.99,Education
4092.65,ATM,3.0,New York,9:58,0,CUST99005,35287.64,Personal
2131.52,In-store,29.0,Chicago,10:17,0,CUST89465,14655.47,Education
4119.35,Online,16.0,San Francisco,7:30,0,CUST21051,98812.55,Business
506.71,In-store,27.0,Chicago,18:15,0,CUST34122,11177.18,Personal
1348.8,In-store,23.0,New York,10:54,0,CUST13433,31232.69,Personal
3017.66,ATM,15.0,San Francisco,4:46,0,CUST19346,9358.32,Mortgage
2557.61,Online,30.0,New York,1:3,0,CUST81012,43370.3,Education
4443.46,ATM,26.0,San Francisco,5:25,0,CUST29068,99208.63,Personal
311.88,In-store,26.0,New York,11:8,0,CUST55885,9423.06,Business
4902.51,Online,2.0,San Francisco,3:49,0,CUST37625,77065.98,Personal
4779.2,Online,16.0,Houston,22:14,0,CUST64777,22652.19,Education
4023.85,Online,16.0,Los Angeles,4:52,0,CUST83494,86968.19,Education
1792.69,In-store,24.0,Los Angeles,6:10,0,CUST66463,80515.23,Business
2260.21,Online,3.0,Chicago,2:22,0,CUST92719,31068.58,Personal
3170.89,In-store,8.0,San Francisco,8:24,0,CUST78449,2959.58,Business
1462.97,Online,9.0,Los Angeles,12:28,0,CUST44657,70951.98,Business
2196.45,ATM,28.0,Houston,6:21,0,CUST83581,14767.09,Business
2151.39,ATM,30.0,Chicago,14:17,0,CUST85925,75160.7,Business
284.81,ATM,27.0,San Francisco,7:33,1,CUST16554,70508.84,Mortgage
2269.29,In-store,20.0,Houston,7:35,0,CUST23321,27769.59,Mortgage
1315.15,Online,23.0,New York,1:6,0,CUST95673,69219.24,Personal
4881.01,ATM,20.0,Los Angeles,23:6,0,CUST61046,52613.61,Business
2644.2,In-store,21.0,Los Angeles,11:0,0,CUST90380,43258.08,Personal
2394.33,In-store,25.0,Chicago,2:27,0,CUST68216,43287.57,Personal
955.86,Online,17.0,Los Angeles,12:59,0,CUST48177,16746.72,Education
1116.82,Online,29.0,San Francisco,11:11,0,CUST93754,65940.69,Mortgage
723.74,Online,14.0,Chicago,17:28,0,CUST92024,62029.48,Mortgage
1014.8,In-store,15.0,Los Angeles,23:1,0,CUST66474,58355.23,Business
2635.74,ATM,27.0,Chicago,12:46,0,CUST88182,59006.39,Personal
2279.17,ATM,6.0,San Francisco,8:43,0,CUST63155,20873.94,Mortgage
1024.96,ATM,29.0,New York,16:27,0,CUST92432,2763.82,Mortgage
3670.66,Online,20.0,San Francisco,23:50,0,CUST61124,97201.74,Education
4753.42,Online,10.0,Houston,1:20,0,CUST13322,33217.17,Mortgage
11.1,Online,18.0,Los Angeles,6:46,0,CUST45835,55984.79,Personal
705.23,ATM,7.0,Los Angeles,5:26,0,CUST84538,87861.6,Business
3106.76,In-store,2.0,San Francisco,8:0,0,CUST19307,19829.68,Personal
1708.71,In-store,14.0,Houston,1:27,0,CUST91053,71837.6,Personal
3663.54,ATM,21.0,Houston,2:39,0,CUST89098,1651.52,Personal
1906.59,ATM,14.0,Los Angeles,3:21,0,CUST16689,34843.07,Mortgage
2277.36,Online,20.0,San Francisco,13:47,0,CUST53188,16649.95,Education
4472.73,In-store,29.0,San Francisco,23:21,0,CUST84290,46649.57,Education
718.3,Online,9.0,Chicago,4:0,0,CUST29999,32833.02,Business
4813.43,ATM,14.0,Los Angeles,18:10,0,CUST16523,12914.72,Personal
2004.39,In-store,16.0,Chicago,13:32,0,CUST86136,2927.1,Mortgage
4633.95,In-store,23.0,San Francisco,16:46,0,CUST74517,2913.52,Business
2363.31,Online,15.0,New York,21:41,0,CUST72815,65705.78,Education
3386.84,In-store,24.0,San Francisco,13:9,0,CUST93234,34979.4,Personal
794.38,In-store,30.0,San Francisco,1:10,0,CUST52089,15095.78,Education
3839.18,ATM,29.0,New York,20:6,0,CUST17064,12822.04,Personal
4181.5,ATM,15.0,New York,5:51,0,CUST22566,87202.64,Business
1138.58,Online,16.0,New York,17:31,0,CUST25328,29028.17,Mortgage
4298.43,ATM,24.0,Los Angeles,4:57,0,CUST97607,79102.44,Education
1073.49,ATM,19.0,Houston,20:55,0,CUST24641,39180.84,Personal
3469.08,ATM,12.0,New York,6:38,0,CUST12006,98806.29,Business
2254.44,ATM,24.0,Los Angeles,17:47,0,CUST76852,24772.26,Business
2472.31,ATM,22.0,Houston,18:27,0,CUST36962,44014.16,Mortgage
18.02,In-store,30.0,Los Angeles,16:15,0,CUST42369,38105.76,Education
4042.39,ATM,23.0,Chicago,15:37,1,CUST32929,60697.75,Education
3446.67,In-store,30.0,Houston,1:45,0,CUST18010,63898.01,Business
1603.32,In-store,16.0,Los Angeles,18:24,0,CUST99677,14222.16,Personal
1443.04,ATM,6.0,Los Angeles,14:38,0,CUST23186,89604.36,Business
1951.14,In-store,10.0,New York,20:3,0,CUST97730,16231.97,Education
46.37,Online,6.0,San Francisco,19:27,0,CUST10005,10215.78,Mortgage
4900.99,In-store,16.0,San Francisco,11:51,0,CUST47967,37623.64,Education
2812.26,ATM,4.0,San Francisco,22:53,0,CUST68717,29853.56,Personal
2521.11,In-store,9.0,Houston,5:41,0,CUST25325,23367.58,Mortgage
1141.76,In-store,20.0,Houston,4:2,0,CUST30570,43508.7,Mortgage
6997.178368415183,ATM,9.0,Los Angeles,9:19,0,CUST22187,27246.36,Education
190.76,ATM,14.0,Houston,14:17,0,CUST52686,19090.59,Personal
70.24,ATM,19.0,New York,3:38,0,CUST93388,25792.97,Mortgage
135.56,Online,3.0,Chicago,2:57,0,CUST33711,62706.64,Business
4609.66,In-store,24.0,Chicago,12:16,0,CUST25330,35572.54,Mortgage
1160.29,Online,3.0,San Francisco,19:33,0,CUST99491,72066.8,Mortgage
4200.99,In-store,16.0,New York,2:2,0,CUST59386,63099.56,Mortgage
633.74,Online,23.0,Los Angeles,7:6,0,CUST92264,2474.79,Education
3951.19,In-store,8.0,San Francisco,19:41,0,CUST98106,44626.48,Business
1810.62,In-store,9.0,Houston,6:38,0,CUST15911,85701.4,Business
2603.74,Online,10.0,San Francisco,1:6,0,CUST73980,37704.74,Mortgage
662.34,ATM,18.0,San Francisco,1:28,0,CUST18578,34516.06,Personal
1514.22,ATM,19.0,New York,20:9,0,CUST80425,80863.72,Mortgage
1739.14,ATM,22.0,Chicago,4:40,0,CUST45772,87718.19,Education
3769.94,ATM,24.0,Chicago,18:41,0,CUST57391,96968.94,Mortgage
1416.03,ATM,5.0,Houston,0:6,0,CUST50715,26044.53,Mortgage
4963.04,In-store,8.0,Houston,11:12,0,CUST61159,54848.7,Business
4574.89,ATM,8.0,San Francisco,9:34,0,CUST83738,49060.92,Mortgage
2471.55,ATM,1.0,San Francisco,11:30,0,CUST39617,78416.95,Personal
1805.1,In-store,29.0,New York,10:22,0,CUST13084,51826.82,Personal
1458.62,ATM,5.0,Houston,18:15,0,CUST58490,93888.04,Mortgage
3838.4,In-store,30.0,Los Angeles,19:24,0,CUST92653,54575.15,Business
3960.47,ATM,25.0,Houston,17:14,0,CUST26793,94293.8,Personal
2008.18,ATM,17.0,Houston,0:13,0,CUST65715,63680.11,Mortgage
4653.41,In-store,23.0,New York,7:4,0,CUST51166,33822.31,Mortgage
1435.41,Online,27.0,San Francisco,15:40,0,CUST31837,28046.45,Business
1357.0,In-store,10.0,San Francisco,18:39,0,CUST98059,90102.02,Personal
4130.62,In-store,25.0,Los Angeles,11:52,0,CUST25889,89811.79,Personal
1173.26,Online,2.0,New York,3:50,0,CUST27117,13228.57,Personal
2940.45,Online,12.0,San Francisco,1:19,0,CUST16153,59942.92,Education
391.12,ATM,20.0,Houston,13:29,0,CUST54518,1432.75,Mortgage
1627.87,Online,7.0,Chicago,1:15,0,CUST41630,29427.26,Education
4245.32,In-store,27.0,Chicago,15:58,0,CUST31611,16399.41,Mortgage
511.55,In-store,22.0,Houston,1:58,0,CUST57873,74725.79,Mortgage
308.12,Online,12.0,Los Angeles,19:29,0,CUST88326,22384.19,Education
2327.25,In-store,27.0,Chicago,15:49,0,CUST78661,44676.39,Education
4197.52,ATM,14.0,Chicago,18:56,0,CUST90063,87477.86,Business
4073.96,ATM,8.0,Houston,12:17,0,CUST84550,27767.84,Business
1444.57,Online,14.0,Chicago,7:37,0,CUST55279,39888.53,Mortgage
2126.84,Online,26.0,Chicago,12:58,0,CUST98052,58904.35,Education
223.45,Online,25.0,San Francisco,11:53,0,CUST45600,34004.89,Education
4066.2,ATM,14.0,New York,6:41,0,CUST76968,82524.69,Education
2592.84,In-store,8.0,Los Angeles,21:1,0,CUST68382,57376.02,Business
1146.06,ATM,5.0,New York,17:3,0,CUST23107,63490.5,Mortgage
803.31,ATM,10.0,Los Angeles,17:15,0,CUST59805,43219.1,Business
1881.41,Online,28.0,Los Angeles,14:36,0,CUST75390,70150.08,Personal
522.59,ATM,23.0,New York,10:39,0,CUST48340,66505.53,Business
1247.59,Online,3.0,San Francisco,15:10,0,CUST64029,97340.11,Education
2871.89,In-store,22.0,Houston,18:24,0,CUST32760,53407.17,Education
2329.69,ATM,13.0,Chicago,0:32,0,CUST45792,67757.21,Education
4442.33,In-store,28.0,New York,19:58,0,CUST84245,24812.1,Personal
383.28,Online,6.0,Chicago,15:17,0,CUST38000,22005.65,Business
4846.54,ATM,6.0,Houston,23:51,0,CUST42184,94932.53,Business
2693.63,In-store,3.0,New York,13:8,0,CUST62590,97984.12,Education
2859.29,ATM,24.0,New York,0:8,0,CUST88694,40595.84,Education
4703.57,ATM,1.0,Houston,8:54,0,CUST29442,87892.81,Personal
4047.6,Online,25.0,Los Angeles,14:59,0,CUST92144,93024.13,Education
1027.74,In-store,11.0,Houston,18:47,0,CUST60435,4985.32,Personal
